"Pubmed Id"	"Pmc Id"	"Doi"	"Title"	"Year"	"Combinations"
"30650640"	"PMC6359299"	"10.3390/medicina55010017"	"Digenic Inheritance of LAMA4 and MYH7 Mutations in Patient with Infantile Dilated Cardiomyopathy"	"2019"	"OLI068"
"31073086"	"PMC6637284"	"10.1183/13993003.02041-2018"	"An atypical pulmonary fibrosis is associated with co-inheritance of mutations in the calcium binding protein genes S100A3 and S100A13"	"2019"	"OLI074"
"29255181"	"PMC5865213"	"10.1038/s41431-017-0014-1"	"Next-generation sequencing of patients with congenital anosmia"	"2017"	"OLI075"
"29114388"	"PMC5671988"	"10.1038/cti.2017.41"	"Epistatic interactions between mutations of TACI (TNFRSF13B) and TCF3 result in a severe primary immunodeficiency disorder and systemic lupus erythematosus"	"2017"	"OLI076"
"10090908"	"PMC1377847"	"10.1086/302329"	"Double Heterozygosity for a RET Substitution Interfering with Splicing and an EDNRB Missense Mutation in Hirschsprung Disease"	"1999"	"OLI035"
"22773735"	"PMC3441126"	"10.1093/hmg/dds264"	"An ancient founder mutation in PROKR2 impairs human reproduction"	"2012"	"OLI036"
"28633507"	"PMC5587079"	"10.1210/jc.2017-00529"	"Digenic DUOX1 and DUOX2 Mutations in Cases With Congenital Hypothyroidism"	"2017"	"OLI040"
"12677556"	"PMC1180271"	"10.1086/375178"	"Genetic Interaction of BBS1 Mutations with Alleles at Other BBS Loci Can Result in Non-Mendelian Bardet-Biedl Syndrome"	"2003"	"OLI061; OLI062; OLI063; OLI064; OLI065; OLI066; "
"21569298"	"PMC3125325"	"10.1186/1750-1172-6-21"	"Complete exon sequencing of all known Usher syndrome genes greatly improves molecular diagnosis"	"2011"	"OLI101; OLI102; OLI103; OLI104; OLI105; OLI106; "
"26524591"	"PMC4639987"	"10.1172/JCI81260"	"Additive loss-of-function proteasome subunit mutations in CANDLE/PRAAS patients promote type I IFN production"	"2015"	"OLI115; OLI116; OLI117"
"30418171"	"PMC6264655"	"10.1172/JCI96098"	"Accessory heterozygous mutations in cone photoreceptor CNGA3 exacerbate CNG channel–associated retinopathy"	"2018"	"OLI042; OLI043; OLI044; OLI045; OLI046; OLI047; "
"25953895"	"PMC4481214"	"10.1074/jbc.M115.656496"	"A Novel Mutation in Isoform 3 of the Plasma Membrane Ca2+ Pump Impairs Cellular Ca2+ Homeostasis in a Patient with Cerebellar Ataxia and Laminin Subunit 1α Mutations"	"2015"	"OLI118"
"30546343"	"PMC6279899"	"10.3389/fneur.2018.01027"	"Digenic Inheritance of Shortened Repeat Units of the D4Z4 Region and a Loss-of-Function Variant in SMCHD1 in a Family With FSHD"	"2018"	"OLI051"
"33007923"	"PMC7650688"	"10.3390/genes11101158"	"Customized Massive Parallel Sequencing Panel for Diagnosis of Pulmonary Arterial Hypertension"	"2020"	"OLI002; OLI003; OLI004; OLI005; OLI006"
"29926981"	"PMC6817113"	"10.1002/jcla.22592"	"GJB3/GJB6 screening in GJB2 carriers with idiopathic hearing loss: Is it necessary?"	"2018"	"OLI135; OLI136"
"21642631"	"PMC3176075"	"10.1167/iovs.11-7554"	"Molecular Analysis of Bardet-Biedl Syndrome Families: Report of 21 Novel Mutations in 10 Genes"	"2011"	"OLI139; OLI140; OLI141; OLI142; OLI143; OLI144; "
"30837984"	"PMC6383679"	"10.3389/fimmu.2019.00130"	"First Case of Patient With Two Homozygous Mutations in MYD88 and CARD9 Genes Presenting With Pyogenic Bacterial Infections, Elevated IgE, and Persistent EBV Viremia"	"2019"	"OLI138"
"29395486"	"PMC6057824"	"10.1053/j.ajkd.2017.11.015"	"The Value of Genetic Testing in Polycystic Kidney Diseases Illustrated by a Family With PKD2 and COL4A1 Mutations"	"2018"	"OLI148"
"20440071"	"PMC2877930"	"10.1172/JCI39715"	"PDZD7 is a modifier of retinal disease and a contributor to digenic Usher syndrome"	"2010"	"OLI120; OLI121; OLI122"
"23800289"	"PMC3695851"	"10.1186/1750-1172-8-91"	"Digenic mutational inheritance of the integrin alpha 7 and the myosin heavy chain 7B genes causes congenital myopathy with left ventricular non-compact cardiomyopathy"	"2013"	"OLI123"
"24664876"	"PMC4270861"	"10.1007/8904_2014_294"	"Diagnostic Exome Sequencing and Tailored Bioinformatics of the Parents of a Deceased Child with Cobalamin Deficiency Suggests Digenic Inheritance of the MTR and LMBRD1 Genes"	"2014"	"OLI153"
"12920096"	"PMC1735558"	"10.1136/jmg.40.8.e104"	"Further support for digenic inheritance in Bardet-Biedl syndrome"	"2003"	"OLI124; OLI125"
"10577906"	"PMC1288363"	"10.1086/302672"	"Digenic Junctional Epidermolysis Bullosa: Mutations in COL17A1 and LAMB3 Genes"	"1999"	"OLI126"
"15635077"	"PMC1735913"	"10.1136/jmg.2004.022244"	"New insights into cystinuria: 40 new mutations, genotype-phenotype correlation, and digenic inheritance causing partial phenotype"	"2005"	"OLI178; OLI179; OLI180; OLI181"
"28251098"	"PMC5313562"	"10.18240/ijo.2017.02.25"	"Digenic heterozygous mutations in EYS/LRP5 in a Chinese family with retinitis pigmentosa"	"2017"	"OLI185"
"29245966"	"PMC5725008"	"10.18632/oncotarget.22045"	"Digenic mutations on SCAP and AGXT2 predispose to premature myocardial infarction"	"2017"	"OLI182"
"24595243"	"PMC3975370"	"10.3390/ijms15033834"	"Novel Missense Mutation in the NOD2 Gene in a Patient with Early Onset Ulcerative Colitis: Causal or Chance Association?"	"2014"	"OLI130"
"28611058"	"PMC5527354"	"10.1530/EC-17-0104"	"GNRHR biallelic and digenic mutations in patients with normosmic congenital hypogonadotropic hypogonadism"	"2017"	"OLI165"
"29768408"	"PMC5973622"	"10.1371/journal.pgen.1007386"	"A homozygous KAT2B variant modulates the clinical phenotype of ADD3 deficiency in humans and flies"	"2018"	"OLI007"
"32311027"	"PMC7448300"	"10.1210/clinem/dgaa217"	"Digenic Heterozygous Mutations in SLC34A3 and SLC34A1 Cause Dominant Hypophosphatemic Rickets with Hypercalciuria"	"2020"	"OLI008"
"27148587"	"PMC4853519"	"10.1101/mcs.a000737"	"Somatic overgrowth associated with homozygous mutations in bothMAN1B1andSEC23A"	"2016"	"OLI227"
"24312213"	"PMC3842385"	"10.1371/journal.pone.0080393"	"Involvement of and Interaction between WNT10A and EDA Mutations in Tooth Agenesis Cases in the Chinese Population"	"2013"	"OLI159; OLI160; OLI161; OLI162; OLI163; OLI164"
"31320904"	"PMC6610752"	"10.1155/2019/1384139"	"A Rare Case of the Digenic Inheritance of Long QT Syndrome Type 2 and Type 6"	"2019"	"OLI218"
"29106381"	"PMC5707159"	"10.1172/JCI93486"	"A digenic human immunodeficiency characterized by IFNAR1 and IFNGR2 mutations"	"2017"	"OLI219"
"28620713"	"PMC5953556"	"10.1007/s00439-017-1823-6"	"Angiopoietin receptor TEK interacts with CYP1B1 in primary congenital glaucoma"	"2017"	"OLI009; OLI010; OLI011; OLI012"
"28979898"	"PMC5611365"	"10.3389/fcvm.2017.00058"	"A Novel Mutation in FOXC1 in a Lebanese Family with Congenital Heart Disease and Anterior Segment Dysgenesis: Potential Roles for NFATC1 and DPT in the Phenotypic Variations"	"2017"	"OLI248; OLI249"
"27057829"	"PMC4998745"	"10.1097/MD.0000000000003029"	"Unraveling of Enigmatic Hearing-Impaired GJB2 Single Heterozygotes by Massive Parallel Sequencing"	"2016"	"OLI251; OLI252"
"22246503"	"PMC3267856"	"10.1038/ng.1078"	"CEP41 is mutated in Joubert syndrome and is required for tubulin glutamylation at the cilium"	"2012"	"OLI244; OLI245; OLI246; OLI247"
"32165640"	"PMC7067772"	"10.1038/s41467-020-15198-9"	"Digenic inheritance of mutations in EPHA2 and SLC26A4 in Pendred syndrome"	"2020"	"OLI316; OLI317"
"18800149"	"PMC2900916"	"10.1038/jid.2008.271"	"Mutations in the GGCX and ABCC6 Genes in a Family with Pseudoxanthoma Elasticum-Like Phenotypes"	"2009"	"OLI301"
"27029556"	"PMC5967407"	"10.3109/13816810.2016.1151898"	"Putative digenic inheritance of heterozygous RP1L1 and C2orf71 null mutations in syndromic retinal dystrophy"	"2016"	"OLI191"
"19050930"	"PMC2737700"	"10.1007/s00439-008-0602-9"	"Digenic inheritance of non-syndromic deafness caused by mutations at the gap junction proteins Cx26 and Cx31"	"2008"	"OLI192; OLI193; OLI194"
"31196119"	"PMC6567512"	"10.1186/s13052-019-0659-1"	"Mutation profile of BBS genes in patients with Bardet–Biedl syndrome: an Italian study"	"2019"	"OLI322; OLI323; OLI324; OLI325"
"32457805"	"PMC7224062"	"10.3389/fgene.2020.00464"	"Gene Panel Analysis in a Large Cohort of Patients With Autosomal Dominant Polycystic Kidney Disease Allows the Identification of 80 Potentially Causative Novel Variants and the Characterization of a Complex Genetic Architecture in a Subset of Families"	"2020"	"OLI326; OLI327"
"28453858"	"PMC5505202"	"10.1210/jc.2017-00332"	"Digenic Inheritance of PROKR2 and WDR11 Mutations in Pituitary Stalk Interruption Syndrome"	"2017"	"OLI014"
"23643382"	"PMC3644636"	"10.1016/j.ajhg.2013.04.008"	"Mutations in FGF17, IL17RD, DUSP6, SPRY4, and FLRT3 Are Identified in Individuals with Congenital Hypogonadotropic Hypogonadism"	"2013"	"OLI195; OLI197; OLI198; OLI199; OLI365; OLI366; "
"30800049"	"PMC6381915"	"10.1159/000494465"	"COQ8A and MED25 Mutations in a Child with Intellectual Disability, Microcephaly, Seizures, and Spastic Ataxia: Synergistic Effect of Digenic Variants?"	"2018"	"OLI405"
"30564623"	"PMC6292381"	"10.1002/acn3.649"	"Genetic landscape and novel disease mechanisms from a large LGMD cohort of 4656 patients"	"2018"	"OLI016; OLI017"
"32982993"	"PMC7485345"	"10.3389/fendo.2020.00626"	"GnRH Deficient Patients With Congenital Hypogonadotropic Hypogonadism: Novel Genetic Findings in ANOS1, RNF216, WDR11, FGFR1, CHD7, and POLR3A Genes in a Case Series and Review of the Literature"	"2020"	"OLI018; OLI019; OLI020"
"29599744"	"PMC5868303"	"10.3389/fneur.2018.00147"	"Myopathy With SQSTM1 and TIA1 Variants: Clinical and Pathological Features"	"2018"	"OLI022"
"30323756"	"PMC6180278"	"10.1159/000492664"	"Limb Girdle Muscular Dystrophy due to Digenic Inheritance of DES and CAPN3 Mutations"	"2018"	"OLI415"
"17235395"	"PMC1765517"	"10.1172/JCI29884"	"Digenic mutations account for variable phenotypes in idiopathic hypogonadotropic hypogonadism"	"2007"	"OLI408; OLI199"
"31960626"	"PMC7057083"	"10.1002/mgg3.1150"	"Potential digenic inheritance of familial hypertrophic cardiomyopathy identified by whole‐exome sequencing"	"2020"	"OLI451"
"30709877"	"PMC6371743"	"10.1101/mcs.a003442"	"Mutations in NRXN1 and NRXN2 in a patient with early-onset epileptic encephalopathy and respiratory depression"	"2019"	"OLI023"
"30029624"	"PMC6053831"	"10.1186/s12881-018-0618-5"	"Novel digenic inheritance of PCDH15 and USH1G underlies profound non-syndromic hearing impairment"	"2018"	"OLI454"
"32615015"	"PMC7689793"	"10.1002/gcc.22883"	"Digenic inheritance of MSH6 and MUTYH variants in familial colorectal cancer"	"2020"	"OLI024"
"23551881"	"PMC4090307"	"10.1111/pedi.12018"	"Digenic heterozygous HNF1A and HNF4A mutations in two siblings with childhood-onset diabetes"	"2013"	"OLI203"
"21209029"	"PMC3047229"	"10.1210/jc.2010-2292"	"Expanding the Phenotype and Genotype of Female GnRH Deficiency"	"2011"	"OLI036; OLI195; OLI199; OLI373; OLI375; OLI391; "
"30782130"	"PMC6379998"	"10.1186/s12881-019-0765-3"	"Novel mutations of STXBP2 and LYST associated with adult haemophagocytic lymphohistiocytosis with Epstein-Barr virus infection: a case report"	"2019"	"OLI025"
"31882397"	"PMC6975284"	"10.26508/lsa.201900376"	"TRAP1 chaperone protein mutations and autoinflammation"	"2019"	"OLI026"
"32100970"	"PMC7196472"	"10.1002/mgg3.1184"	"Genetic and clinical findings of panel‐based targeted exome sequencing in a northeast Chinese cohort with retinitis pigmentosa"	"2020"	"OLI446; OLI447; OLI448; OLI449; OLI450"
"21211617"	"PMC3014367"	"10.1016/j.ajhg.2010.12.004"	"NEK1 Mutations Cause Short-Rib Polydactyly Syndrome Type Majewski"	"2011"	"OLI458"
"32506365"	"PMC7502106"	"10.1007/s13730-020-00489-3"	"Bartter syndrome representing digenic-based salt-losing tubulopathies presumably accelerated by renal insufficiency"	"2020"	"OLI444"
"11774072"	"PMC384919"	"10.1086/338709"	"Digenic Inheritance of Early-Onset Glaucoma: CYP1B1, a Potential Modifier Gene"	"2002"	"OLI460"
"29764427"	"PMC5954460"	"10.1186/s12882-018-0906-5"	"COL4A5 and LAMA5 variants co-inherited in familial hematuria: digenic inheritance or genetic modifier effect?"	"2018"	"OLI504; OLI916"
"31628433"	"PMC6951337"	"10.1038/s41422-019-0243-7"	"Joint utilization of genetic analysis and semi-cloning technology reveals a digenic etiology of Müllerian anomalies"	"2019"	"OLI027; OLI028; OLI029"
"29573971"	"PMC5966321"	"10.1016/j.ymgme.2018.03.005"	"Digenic variants of planar cell polarity genes in human neural tube defect patients"	"2018"	"OLI505; OLI506; OLI507; OLI508; OLI509; OLI510"
"30375286"	"PMC6389765"	"10.1089/thy.2018.0295"	"Congenital Hypothyroidism due to Oligogenic Mutations in Two Sudanese Families"	"2019"	"OLI031; OLI032"
"21300340"	"PMC3888818"	"10.1016/j.fertnstert.2011.01.010"	"Nasal embryonic LHRH factor (NELF) mutations in patients with normosmic hypogonadotropic hypogonadism and Kallmann syndrome"	"2011"	"OLI511; OLI512"
"17503324"	"PMC1867094"	"10.1086/518314"	"Transcriptional Control of SLC26A4 Is Involved in Pendred Syndrome and Nonsyndromic Enlargement of Vestibular Aqueduct (DFNB4)"	"2007"	"OLI502"
"26436113"	"PMC4585455"	"10.1002/mgg3.158"	"Mutations in CDK5/RAP2 cause Seckel syndrome"	"2015"	"OLI243"
"24618850"	"PMC3949687"	"10.1371/journal.pone.0090688"	"Massively Parallel DNA Sequencing Facilitates Diagnosis of Patients with Usher Syndrome Type 1"	"2014"	"OLI259; OLI260; OLI261; OLI262; OLI263"
"32765423"	"PMC7381236"	"10.3389/fendo.2020.00413"	"Genetics of Gland-in-situ or Hypoplastic Congenital Hypothyroidism in Macedonia"	"2020"	"OLI518; OLI519; OLI520"
"31478359"	"PMC6785452"	"10.1002/mgg3.928"	"ENAM mutations and digenic inheritance"	"2019"	"OLI521"
"24916509"	"PMC4141517"	"10.1182/blood-2014-05-573105"	"Synergistic defects of different molecules in the cytotoxic pathway lead to clinical familial hemophagocytic lymphohistiocytosis"	"2014"	"OLI522; OLI523; OLI524; OLI525; OLI526; OLI527; "
"30968591"	"PMC6565573"	"10.1002/mgg3.653"	"Novel mutations of COL4A3, COL4A4 and COL4A5 genes in Chinese patients with Alport Syndrome using next generation sequence technique"	"2019"	"OLI033; OLI034"
"15537665"	"PMC2858222"	"10.1093/hmg/ddi010"	"Digenic inheritance of deafness caused by mutations in genes encoding cadherin 23 and protocadherin 15 in mice and humans"	"2004"	"OLI265; OLI266; OLI267"
"28749435"	"PMC5578023"	"10.3390/ijms18081633"	"Allelic Complexity in Long QT Syndrome: A Family-Case Study"	"2017"	"OLI549; OLI550; OLI551"
"31919841"	"N.A."	"10.1111/ajd.13236"	"Digenic inheritance of KRT5 and KRT14 mutations in a family with epidermolysis bullosa simplex"	"2020"	"OLI517"
"15253708"	"N.A."	"10.1111/j.1523-1755.2004.00776.x"	"NPHS2 mutation analysis shows genetic heterogeneityof steroid-resistant nephrotic syndrome and lowpost-transplant recurrence"	"2004"	"OLI501"
"16390615"	"N.A."	"10.1258/000456306775141641"	"Dual porphyria with mutations in both the UROD and HMBS genes"	"2006"	"OLI167"
"25765472"	"N.A."	"10.1016/J.EJMG.2015.02.009"	"Comprehensive analysis of desmosomal gene mutations in Han Chinese patients with arrhythmogenic right ventricular cardiomyopathy"	"2015"	"OLI547; OLI548"
"18723471"	"N.A."	"10.2164/jandrol.108.005314"	"Genetic Analysis in Patients With Kallmann Syndrome: Coexistence of Mutations in Prokineticin Receptor 2 and KAL1"	"2008"	"OLI119"
"23324268"	"N.A."	"10.3760/cma.j.issn.0366-6999.20121104"	"Genetic analyses of Chinese patients with digenic oculocutaneous albinism"	"2013"	"OLI069; OLI070; OLI071; OLI072; OLI073"
"12820704"	"N.A."	"10.1089/109065703321560958"	"Mutation Analysis in Congenital Long QT Syndrome—A Case with Missense Mutations in KCNQ1 and SCN5A"	"2003"	"OLI202"
"26036852"	"N.A."	"10.1007/s00405-015-3671-0"	"TMPRSS3 mutations in autosomal recessive nonsyndromic hearing loss"	"2015"	"OLI060"
"29556035"	"N.A."	"10.1038/s10038-018-0436-9"	"Functional splicing analysis in an infantile case of atypical hemolytic uremic syndrome caused by digenic mutations in C3 and MCP genes"	"2018"	"OLI514"
"25801283"	"N.A."	"10.1093/hmg/ddv108"	"New cardiac and skeletal protein aggregate myopathy associated with combined MuRF1 and MuRF3 mutations"	"2015"	"OLI200"
"27611893"	"N.A."	"10.1111/bjd.15053"	"Digenic inheritance in epidermolysis bullosa simplex involving two novel mutations in KRT5 and KRT14"	"2017"	"OLI250"
"24024749"	"N.A."	"10.1111/bjd.12624"	"Coexistence of KRT14 and KRT5 mutations in a Polish patient with epidermolysis bullosa simplex"	"2014"	"OLI240"
"18443213"	"N.A."	"10.1093/ndt/gfn208"	"Bigenic heterozygosity and the development of steroid-resistant focal segmental glomerulosclerosis"	"2008"	"OLI320; OLI321"
"32123938"	"N.A."	"10.1007/s00198-020-05366-4"	"The molecular landscape of osteogenesis imperfecta in a Brazilian tertiary service cohort"	"2020"	"OLI158"
"16971658"	"N.A."	"10.1681/ASN.2006030277"	"Prevalence of Mutations in Renal Developmental Genes in Children with Renal Hypodysplasia: Results of the ESCAPE Study"	"2006"	"OLI239"
"30661074"	"N.A."	"10.1159/000495764"	"Possible Digenic Disease in a Caucasian Family with COL4A3 and COL4A5 Mutations"	"2019"	"OLI133"
"18546294"	"N.A."	"10.1002/mds.22143"	"Familial Parkinsonism with digenic parkin and PINK1 mutations"	"2008"	"OLI127; OLI128; OLI129"
"9158138"	"N.A."	"10.1093/hmg/6.5.659"	"Apparent Digenic Inheritance of Waardenburg Syndrome Type 2 (WS2) and Autosomal Recessive Ocular Albinism (AROA)"	"1997"	"OLI398; OLI399"
"27502037"	"N.A."	"10.1016/j.mce.2016.08.007"	"Targeted next generation sequencing approach identifies eighteen new candidate genes in normosmic hypogonadotropic hypogonadism and Kallmann syndrome"	"2016"	"OLI420; OLI421; OLI422; OLI423; OLI424; OLI425; "
"16398658"	"N.A."	"10.1111/j.1365-2141.2005.05852.x"	"Dual gene defects involving delta-aminolaevulinate dehydratase and coproporphyrinogen oxidase in a porphyria patient"	"2006"	"OLI001"
"19402160"	"N.A."	"10.1002/humu.21040"	"BBS7 and TTC8 (BBS8) mutations play a minor role in the mutational load of Bardet-Biedl syndrome in a multiethnic population"	"2009"	"OLI097; OLI098"
"12872260"	"N.A."	"10.1002/humu.10246"	"Digenic progressive external ophthalmoplegia in a sporadic patient: Recessive mutations in POLG and C10orf2/Twinkle"	"2003"	"OLI131"
"29742505"	"N.A."	"10.1159/000488163"	"The COL4A3 and COL4A4 Digenic Mutations in cis Result in Benign Familial Hematuria in a Large Chinese Family"	"2018"	"OLI318; OLI319"
"32102593"	"N.A."	"10.1177/0883073820902308"	"Familial Acute Necrotizing Encephalopathy: Evidence From Next Generation Sequencing of Digenic Inheritance"	"2020"	"OLI221"
"20472660"	"N.A."	"10.1136/jmg.2009.073205"	"Mutations in chaperonin-like BBS genes are a major contributor to disease development in a multiethnic Bardet-Biedl syndrome patient population"	"2010"	"OLI078; OLI079; OLI080; OLI081; OLI082; OLI083; "
"26748417"	"N.A."	"10.1111/cge.12722"	"Complex mode of inheritance in holoprosencephaly revealed by whole exome sequencing"	"2016"	"OLI407"
"28494446"	"N.A."	"10.1159/000471792"	"Mutation Load of Multiple Ion Channel Gene Mutations in Brugada Syndrome"	"2017"	"OLI183"
"21677404"	"N.A."	"10.1007/s12041-011-0045-2"	"Cystinuria AA (B): digenic inheritance with three mutations in two cystinuria genes"	"2011"	"OLI166"
"30097784"	"N.A."	"10.1007/s00417-018-4076-8"	"The characteristics of digenic familial exudative vitreoretinopathy"	"2018"	"OLI303; OLI304; OLI305; OLI306; OLI307; OLI308; "
"25979592"	"N.A."	"10.1016/J.MCP.2015.05.004"	"Targeted 46-gene and clinical exome sequencing for mutations causing cardiomyopathies"	"2015"	"OLI231; OLI232; OLI233; OLI234; OLI235; OLI236; "
"25236808"	"N.A."	"10.1016/J.HRTLNG.2014.07.004"	"Congenital long QT syndrome: Severe Torsades de pointes provoked by epinephrine in a digenic mutation carrier"	"2014"	"OLI445"
"17054399"	"PMC1617130"	"10.1371/journal.pgen.0020175"	"Kallmann Syndrome: Mutations in the Genes Encoding Prokineticin-2 and Prokineticin Receptor-2"	"2006"	"OLI152"
