Name,precision,recall,f1_score,size
BiomedBERT_AL_9,0.8074534161490683,0.8176100628930818,0.8125000000000001,4005
BiomedBERT_AL_8,0.7470588235294118,0.7987421383647799,0.7720364741641337,3603
BiomedBERT_AL_7,0.7806451612903226,0.7610062893081762,0.7707006369426751,3200
BiomedBERT_AL_6,0.8222222222222222,0.6981132075471698,0.7551020408163266,2805
BiomedBERT_AL_5,0.7727272727272727,0.6415094339622641,0.7010309278350515,2398
BiomedBERT_AL_4,0.8264462809917356,0.6289308176100629,0.7142857142857142,1986
BiomedBERT_AL_3,0.768595041322314,0.5849056603773585,0.6642857142857143,1570
BiomedBERT_AL_2,0.6482758620689655,0.5911949685534591,0.618421052631579,1178
BiomedBERT_AL_1,0.6099290780141844,0.5408805031446541,0.5733333333333333,776
BiomedBERT_AL_0,0.336,0.2641509433962264,0.29577464788732394,383